Code name,Decription ,Examples,,Code name ,Description ,Examples 
Positive - pronounciation - genernal,Comments that positively evaluate kpop idols' accents and voice in genernal without invoking metalinguistic knowledge or associating them with other characteristics ,rosie's accent is what i live for.,,Positive description (31),General/overall positive description related with the person's English ,"sounds like a princess 
her English voice is sooo smooth, very calming"
Positive - pronounciation - Social Attractiveness,"Comments that postively evaluate kpop idols accents and tie them to social attractiveness, character, likeability, and aesthetic quality.","I really love Jennie's accent more , she sounds different everytime she talk to different kinds of people. It's cool and unique, she's so brilliant.",,Positive evaluation from language learning perspective (4),The commenter positively evaluate the person from a perspective of language learning ,how hard it is to learn a new language...nobody should discount her talent/smartness
Positive - voice - prosodic features ,Comments that evaluate voice of the idols,I love how Jennie's voice change especially when she's speaking Japanese it's so cute,,Positive evaluation on pronunciation (8),The commenter explicitly mention 'pronunciation' and evaluate it positively ,pronunciation is so good
Positive - pronounciation - learning motivation,Comments that associate the focal accent with the enhancement of language learning motivation ,"C⃟r⃟z⃟z⃟y⃟ A⃟u⃟t⃟h⃟u⃟m⃟ 🍁
 2 years ago
 This is so true. We tend to look down on our self because of a simple mistakes when we could pull them up together with passion. I, myself, is struggling to pronounces words correctly because of how twisted my tongue was, (even until now) but seeing the others—I looked up to—worked hard as much as I do, motivates me. Whether it was english or korean, believing to yourself can lead you to a better places. Thank you op. This helps me alot. 🥰",,Positive evaluation on accent (27),The commenter explicitly mention 'accent' and evaluate it positively ,her accent I love it
Positive - proficiency / comprehensibility?,Comments that positively evaluate idols' English by describing how proficent their English sounds and how comprehensible their English is ,"Rosé has aussie accent Jennie has that new zealander accent or what ever you call it Lisa has American accent Jisoo has Korean accent  But it's incredible how they can rap in english it's hard to rap in other languages apart from your own language  I can only do Filipino, english and korean and i bet you it's hard needs some practice",,Evaluating English proficiency (4),"The commenter evaluates a person's English proficiency (e.g., grammar, English skills...) ","She doesn't get every word exactly right,"
Positive - metalinguistic knowledge ,Comments that positive evalaute idols' accent and validate the evaluation through showing metalinguitic knowledge such as analyzing the pronounciation at a phonetic level,"Id pick Jennies accent. Its clear as crystal. Although Rosies accent is nice to the ear, sometimes I dont understand some words she say. Like my first time hearing kill this love, it was Rosies part ""we all commit to love...."" where ""love"" sounded (to me) as ""lord"" damn I laughed so hard.",,mentioning (non)-nativeness (7),The commenter mentions being native or non-native as a reference , I've ever heard from a non-native English speaker. 
Positive - speech ,Comments that postively evaluate English proficency by describing the speech elements such as lexical choices ,"I am very impressed with Rosé, and not because of her accent or how fluent she is or how she pronounces the words. I am impressed because of what comes out of her mouth. They are not only instantaneous responses, but very intelligent as well. She doesn’t just open her mouth to speak, they are all carefully selected and well thought, and she does it in split second.",,Motivated (2),The commenter is motivated to learn/study English by the person ,Wendy really motivates me to speak english more
Positive - nativeness ,Comments that make positive evaluation through associating the accents with a native way of speaking and/or inscribing the kpop idols with native identities such as Australian ,"Mikaira Park
 2 years ago
 Aussie Rosie.",,Mentioning specific region(s) (16),The commenter mentions (Usually Inner Circles') regions as a reference for regional dialect ,She does have that slight little bit of a Canadian accent
,,,,Self-negative evaluation (2),The commenter reflects his/her own English compared to the person in the video and gives self-negative evaluation ,i suck at english
"Exclude any comments that only evaluate voice, phycial features. ",,,,Against the evaluation (11),The commenter criticizes others comments by being against to the evaluation/praise,People judging her english... that's not even her job 
We only include comments that evaluate accents and pronounciation. ,,,,Meta-awareness of this phenomenon (1),The commenter reflects why these video (idols speaking English) got famous,apparently speaking english is also considered a skill nowadays
We include English + Voice,,,,Metalanguage (3),The commenter shows linguistic knowledge or talks about language,It's a fact that people change personalities when they speak in different languages. 