Video#,Comments,Language,General evaluation,Aspect(s) of evaluation,Quotes,Notes
1,Is it just me or does Wendy sounds like an actual disney princess especially when she was talking to Sidney,1,Off-topic,,,
1,"people saying “she’s canadian, what do you expect?” don’t realise how hard it is to learn a new language when you’re completely alone in a new environment. if you studied in korea for 6 years would you consider yourself korean? i have friends who studied in another country for 4 years of university and they still have not mastered the country’s language. all in all, learning a new language is not easy, let alone speak fluently. wendy can speak english, korean, spanish and french fluently and nobody should discount her talent/smartness just because she stayed in canada/usa for 6 years.",1,Off-topic,"*Metalinguistic comments 
From a perspective of SLA ",,
1,"Wendy sounds like a princess, sings like a Queen, and lives like an Angel. How even-",1,Off-topic,,,
1,"웬디 미모, 가창력, 인성, 딕션 완벽해서 치인다

T: Wendy's beauty, singing, personality, and diction are perfect",2,a,,"Wendy's beauty, singing, personality, and diction are perfect",*diction is commonly used as an expression for pronunciation in Korea.
1,"웬디 영어할 때 너무 멋있다 미국 드라마 나오는 깜찍하고 야무진 주인공같아ㅠㅠ 웬디야 사랑해 얼른 나아서 무대하자

T: Wendy is so cool when she speaks English. She looks like a cute and tough main character from an American drama. I love you, Wendy. Let's get better and perform",2,a,a,,
1,her english voice is sooo smooth. very calming. I love it.. she's so pure. my wendy :D,1,a,a,her english voice is sooo smooth,
1,"Her english is beautiful, her visual is beautiful, her voice is beautiful, most especially her heart is so beautiful  she's not a human, she's an angel",1,a,a,,
1,"Wendy needs to do a korean voiceover for a disney movie, her voice is so soothing and beautiful like when she speaks she is like a disney princess",1,Off-topic,,,
1,"Whenever she speaks english, she sounds like a disney princess",1,a,a,"Whenever she speaks english, she sounds like a disney princess",
1,"I admire her. She's very articulate and witty no doubt she is intelligent, how much more if she has a degree..we love our wendyand I find her voice very sexy when she speaks in English",1,a,"a
SP", I find her voice very sexy when she speaks in English,
1,"Wendy is so perfect, she's an angel. Her smile can be calming, her aura is very positive.",1,Off-topic,,,
1,She is very nice and very kind Also very smart and talented  I love Wendy so much,1,Off-topic,,,
1,Wendy unnie is so perfect she is so talented and her personality is so beautiful,1,Off-topic,,,
1,Her voice and pronunciation is so good! Very cute as well :),1,a,,Her voice and pronunciation is so good!,
1,"Wendy is that one girl who is great in everything.  Edit: holy smokes, this is the most likes I’ve ever gotten! Tysm!",1,Off-topic,,,
1,"Wendy is so nice, kind, supportive, genuine, gorgeous, beautiful, and the list just keeps going on! She is the perfect disney princess at this point!",1,Off-topic,,,
1,Singing + Dancing + Intellect + Visual + Good Heart = W.E.N.D.Y,1,Off-topic,,,
1,"진짜 우리 언니 손가락짓 안하는거.. 예의가 몸에 베어있다. 언니 화이팅ㅠㅠ 영어 할 때 제일 멋져

T: My sister doesn't do pointing at people with her fingers. She has a lot of manners. Fighting! She's the coolest when she speaks English",2,a,a,,
1,"her voice,her accent I love it",1,a,,"her voice,her accent I love it",
1,"Visual, talents, brain, behaviour is all  I truly believe she's one of a great artist an",1,Off-topic,,,
1,"She doesn't get every word exactly right, but her tone and pronunciation are the best I've ever heard from a non-native English speaker. Couple that with her kindness and intelligence, and Wendy really is an incredible idol and person.",1,a,"a
b","her tone and pronunciation are the best I've ever heard from a non-native English speaker. Couple that with her kindness and intelligence, and Wendy really is an incredible idol and person.",
1,Wendy really motivates me to speak english more and not lying but I keep copying her whenever she speak english . I hope wendy read this and make her speak english more so many people can get motivated like me,1,a,c,Wendy really motivates me to speak english more and not lying but I keep copying her whenever she speak english .,
1,hat's so amazing I'm glad she influences you that way! She influences me to learn Korean. My mentality is if she works hard and can speak another language then I should do the same.,1,Off-topic,*c,,
1,"Wendy's tone is a very neutral pronunciation. It is common in the middle of the United States, mostly in Indiana. When other Americas here it, we have a hard time guessing where they are from. It's kind of fun!",1,b,b,"Wendy's tone is a very neutral pronunciation. It is common in the middle of the United States, mostly in Indiana.",
1,"I'm lucky I'm from the midwest too so my friends and I were like ""ohh! She sounds like us!"" Helps us feel more connected somehow",1,a,b,"I'm lucky I'm from the midwest too so my friends and I were like ""ohh! She sounds like us!""",
1,"You picked a good person to follow. She has a very ""standard"" accent. So it will be easy to use anywhere.",1,a,b,"You picked a good person to follow. She has a very ""standard"" accent.",
1,"You are right, it's practice, practice, and more practice. Also, some of it is just talent. I know a lot of people who have lived in the US for over 20 years and still have a strong accent, or struggle with English grammar.",1,Off-topic ,"b
c
d",,"Although the comment didn't mention 'motivation' explicitly, it is implied that through the repetition of the word 'practice.' Plus, the comment provides a counter-example (strong accent). "
1,She does have that slight little bit of a Canadian accent tho. It might be a Midwesterner thing too. We sound pretty similar.,1,b,b,She does have that slight little bit of a Canadian accent tho. It might be a Midwesterner thing too.,
1,"i suck at english, here in PH for decades we've been using english too as 2nd language but oh my accent is so weird and my lisp (since i have a big front bite), I cant even sing english songs because they criticize my accent. It's so hard if you have a big lisp. English is hard to pronounce.",1,Off-topic,*b,,
1,sameee! i love her accent. also from b99 lol,1,a,,i love her accent.,
1,I don’t know if it’s just me but she sounds like a Disney princess,1,Off-topic,,,
1,i’m proud of her! english is NOT an easy language to learn. her english is very smooth and effortless.,1,Off-topic,*d,,
1,She has the most soothing voice,1,Off-topic,,,
1,"영어 진짜 모르고 공부하기 싫은데 이상하게 웬디가 영어로 말하는거 보면 영어공부하고싶은 마음이 솟구침ㅋ

T: I really don't know English and I don't want to study, but strangely, seeing Wendy speaking in English makes me want to study English",2,a,c,,
1,loveeeee her transition from Korean to English. that's so smooootthhh,1,Off-topic,,,
1,"웬디님 영어 발음 진짜 짱 !! 3.93실화야 ??헐.. 웬디님 만능이시네요 !!

T: Wendy's English pronunciation is the best! 3.93? Wow... Wendy is so versatile!!",2,a,a,"Wendy, your English pronunciation is amazing! Is it a 3.93 real story? Wow... Wendy, you're good at everything!!",
1,"얼굴 예쁘고 노래도 잘하는 데다가 뇌까지 섹시해...ㅠ

T: Your face is pretty, you sing well, and your brain is sexy",2,Off-topic,,,
1,SHE IS A QUEEN!  I Love your voice Seungwan!,1,Off-topic,,,
1,"진짜 너무 사랑해 어쩜 이렇게 인성까지 완벽하고 두뇌까지 완벽해 진짜 진심으로 사람을 위하는 마음이 눈에 보여

T: I love you so much. Your personality is so perfect. Your brain is perfect. I can see your sincere heart for people",2,Off-topic,,,
1,I love her voice when she speaks english,1,a,a,I love her voice when she speaks english,
1,"I’m not Canadian or Korean, but I’m always happy to see people fluent in their parents language. Keep fighting Wendy!",1,Off-topic,,,
1,"같이 우는 모습도 너무 따뜻하고 한국어로 말하다가 영어로 자연스럽게 바뀌는것도 존멋이고... ㅠㅠㅠㅠ

T: It's so warm to see you cry together and it's so cool to talk in Korean and then naturally change into English... ㅠㅠㅠㅠ",2,Off-topic,Bilingualism ,,
1,"발음이.... 우와... 얼굴두 이뿌고 착하고 똑똑하고 ....

T: The pronunciation... Wow... He's so nice and smart with his face...",2,a,,"Your pronunciation... Wow... Your face is pretty, nice, smart...",
1,"웬디 언니 정말 아름다운 사람 ㅠㅜㅜㅜ 영어 하는것두 너무 멋있어서 발리구 사랑스럽구 마음씨까지 이쁘고 승승장구 합시당!!

T: Wendy, you are such a beautiful person. Your English is so cool, you are so lovely and your mind is pretty. Let's keep up the good work!!",2,Off-topic,,,
1,"Wendy: Nice  Amazing vocal An angel Smart af Funny  Dance Queen Beautiful  English Genius ""Nothing can beat her amazing talent",1,Off-topic,,,
1,i fell in love twice with her english pronunciation,1,a,,i fell in love twice with her english pronunciation,
1,I really really love her warm voice,1,Off-topic,,,
1,"When shes talking in english, i always happy and excited, then i always end up crying..cause shes so sincere in every speech that she made",1,a,a,,
1,"와 진짜 다 들려 딕션 미쳤네

T: Wow, I can hear everything. The diction is crazy",2,a,COM ,"Wow, I can hear everything. The diction is crazy",
1,"발음 장난아니다ㅠㅠㅠㅠㅠㅠㅠ 갓승완 찬양해️️

T: Your pronunciation is no joke. I praise you, God Seungwan. ️️",2,a,,Your pronunciation is no joke. ️️ㅠㅠ (crying) Praise God Seungwan,
1,"울 강쥐 진짜 예쁘고 영어도 진짜 잘하고 내이상형

T: Our puppy is really pretty and speaks English well. My ideal type",2,a,,,
1,"영어로 사람의 마음를 녹이고 움직이게 하다 가창력 뛰어나지 팝송잘부르지 사람의 감성을 이해할 수 있는 여자 wow

T: She melts and moves people's hearts in English. Great singing ability. She sings pop songs well. A woman who can understand people's emotions. Wow",2,Off-topic,,,
1,"목소리도 예뻐 발음도 예뻐 얼굴도 예뻐 무엇보다 마음씨가 너무 예쁘다 진짜 ㅜㅜ

T: Your voice is pretty, your pronunciation is pretty, your face is pretty, and above all, your heart is so pretty",2,a,,"Your voice is pretty, your pronunciation is pretty, your face is pretty, your heart is so pretty",
1,"영어할때 목소리랑 발음 너무 깔끔!!!

T: Your voice and pronunciation are so neat when you speak English!!!",2,a,a,Your voice and pronunciation are so clean when you speak English!!!,
1,wendy has the looks. wendy has the voice. wendy has the moves. wendy has the brains. she has the complete set bro,1,Off-topic,,,
1,"한국말하다 바로 영어로 넘어가는거 개발린다 엉엉 ㅠㅠ

T: I'm dying when transitioning from Korean to English (crying)",2,Off-topic,Bilingualism ,,
1,"한국어 하다가 영어로 넘어가는 부분 너무 좋다 진짜 마음 예쁜게 느껴진다

T: I love the part where you go from Korean to English. I can feel your heart is really pretty",2,Off-topic,,,
1,"와,,,영어공부 자극 받고갑니다 진짜

T: Wow, I'm getting stimulated by studying English",2,Off-topic,"*Metalinguistic comments 
From a perspective of SLA ",,
1,Im from philippines. Wow wendy's Good pronounciation for english. She is so really Good,1,a,,Wow wendy's Good pronounciation for english.,
1,"와 ... 진짜 되게 기본 영어들만 섞어 쓰는데도 고급스러워 보인다..

T: Wow... Even though only use basic English, it looks luxurious..",2,Off-topic,*a,,
1,"I love the way she pronounces the ""s""",1,a,e,,
1,Some of the koreans can't pronounce words that has letter L but wendy pronounce it clearly. That's why i love her!,1,a,e,,
1,"영어발음 예술이다..ㄷㄷㄷ

T: It's the art of English pronunciation",2,a,,It's an art of English pronunciation,
1,She sounds really fluent in English. I didn't know about that. It comes out naturally.,1,a,d,She sounds really fluent in English,
1,"발음..치인다

T: What a pronunciation ",2,a,,,
1,"영어 너무 잘한다.....너무 부럽다...ㅠㅜ

T: English is so good... I'm so jealous",2,Off-topic,,,
1,Idk but I looove wendy’s accent,1,a,,I looove wendy’s accent,
1,"목소리 너무좋다 영어할때 ㅠㅠ

T: The voice is so good when speaking English ",2,a,a,Your voice is so nice when you speak English,
1,I loveeeeeeeeeeeeeeeeeeee the moment when she speak English!,1,a,,,
1,"You are a perfect idol Wendy.  You have the VOICE You have the FACE You have the MOVE You have the ATTITUDE, PERSONALITY and You have the BRAIN! A VERY VERY SEXY BRAIN!",1,Off-topic,,,
1,i know wendy been living in canada for years but WOW im still impressed when she speaks in english :')))),1,a,b,,
1,"영어할때 목소리가 넘 듣기 좋네요~

T: It's so good to listen to the voice when speaking English ",2,a,a,It's so nice to hear your voice when you speak English,
1,"Jtbc making a compilation of wendy speaking in english...wow and showing how talented, smart and kind wendy is Thank you.",1,a,a,,
1,"한국어하다가 갑자기 영어로 하는거 존나섹시해..

T: It's so sexy to speak English all of a sudden while speaking Korean..",2,a,a,,
1,Wow Wendy has a degree and everything speaks like a true Canadian,1,a,b,everything speaks like a true Canadian,
1,I really love when wendy speak korean the switch to english,1,a,,,
1,"영어할때 너무 매력적이다....

T: It's so charming when speaking English ",2,a,a,,
1,I really like her accent,1,a,,I really like her accent,
1,"우와 발음 진짜...다시태어나면 저 발음으로 태어나고 싶어요♡

T: Wow, pronunciation is really... If I'm born again, I want to be born with that pronunciation ♡",2,a,,"Wow, pronunciation is really... If I'm born again, I want to be born with that pronunciation ♡",
1,Her accent oh my god,1,a,,Her accent oh my god,
1,"웬디 발음 개발린다

T: Wendy's pronunciation is something ",2,a,,,
1,"영어클라스.. 지렸다..

T: It's another level of English... I'm all wet..",2,Off-topic,,,
1,Her English is so damn gooddddddd I really love her accent,1,a,,Her English is so damn gooddddddd I really love her accent,
1,i am so inlove with her english..,1,Off-topic,,,
1,"발음 쩐다.....

T: The pronunciation is awesome ",2,a,,,
1,Everytime it's Wendy's English Videos its over 500k views for a short time. Amazing! We are all thirsty for her.,1,Off-topic,,,
1,"발음 대박 

T: Awesome pronunciation ",2,a,,,
1,"웬디는 이쁜데 목소리도이쁘고 영어도잘하고 ㅋ너무멋져 ㅋㅋ

T: Wendy is pretty, but she has a pretty voice and speaks English well. She is so cool",2,a,a,,
1,Her english pronunciation is clearer than my future,1,a,,Her english pronunciation is clearer than my future,
1,"웬디 발음 오진다...

T: Wendy's pronunciation is amazing ",2,a,,,
1,When shes pronouncing words better than Americans,1,a,b,When shes pronouncing words better than Americans,
1,"영어로 축하해주는데 멋짐폭발이네요

T: The coolness is exploding when celebrating in English ",2,a,a,,
1,"Istg, among the many idols who can speak english, I think the way wendy speak is the easiest to understand, btw sorry for my english",1,a,COM,,
1,Why the Main Vocalist's English skills are incredible?  I mean look at Rosé and Wendy,1,Off-topic,,,
1,"억양, 목소리, 발음에 발린다

T: Tone, voice, and pronunciation are something ",2,a,a,,
1,People judging her english... that's not even her job -_-. She's a damn idol AND she can speak multiple languages. What can YOU do?,1,Off-topic,,,
1,"i honestly dont know why people are judging her English. she is NOT Canadian, she was born and raised in Korean and LEARNED english. the fact that she is fluent in English after just living and studying in Canada + USA is so impressive",1,Off-topic,,,
1,"발음 개섹시하다 ㄷ

T: The pronunciation is so sexy ",2,a,a,,
1,I could listen to Wendy speaking all day with a microphone,1,Off-topic,,,
1,I wonder how good wendy's pronunciation is. I am not native speaker so i think she seems to have a good accent!,1,a,b,,
1,Her accent is pretty good considering she’s Canadian and lived there for five or so years.,1,a,b,Her accent is pretty good considering she’s Canadian,
1,"영어할 때 목소리 너무 좋아

T: The voice is so cool when speaking English ",2,a,a,,
1,"웬디 영어 발음이 유학발음수준이 아닌데 이정도면 그냥 외국에서 태어나서 한20년살다 온수준인데 ㅋㅋ

T: Wendy's English pronunciation is not at the level of studying abroad. Her pronunciation is just about being born and raised in a foreign country for 20 years lol",2,a,b,"Wendy's English pronunciation is not at the level of overseas study pronunciation, but this is just the level of being born in a foreign country and living for about 20 years lol",
1,Everyone that have the intention to learn and speak English can talk like her,1,a,c,,
1,"여자판 박진영도 아니고, 겁나 매력적인데, 영어할땐 또 겁나 섹시하네

T: Isn't she a girl's version of Park Jin-young? She's very attractive. She's very sexy when she speaks English",2,a,a,,
1,"웬디 영어하는 모습 진짜 섹시하다 넘 좋아

T: Wendy speaking English is so sexy. I love it",2,a,a,,
1,"와 잘한다 자연스럽네  패턴영어가 아니여~~~~

T: Wow, It's good. It's natural. It's not pattern English",2,Off-topic,,,
1,Wendy's english so cuteee,1,Off-topic,,,
1,"I love Wendy's accent ,like she's so fluent in English.. not like me though im not good at English and im not that so fluent and accent at it..",1,a,d,"I love Wendy's accent ,like she's so fluent in English.. not like me though im not good at English and im not that so fluent and accent at it..",
1,"i wouldnt say Wendy has ""english skills"" because she was raised in Canada for a long time since she was young. if your learning a new language from the ground up then yes it is a skill.",1,Off-topic,,,
1,"발음 개취한다....하....얽

T: I'm drunk by pronunciation.... HA... ",2,a,,,
1,"나도 영어 잘하고싶다.

T: I want to do English well, too ",2,Off-topic,"*Metalinguistic comments 
From a perspective of SLA ",,
1,"영어하는 웬디 넘나 섹시함

T: Wendy speaking English is so sexy ",2,a,a,,
1,"Y'all acting like she didn't live in Canada for a significant chunk of her life and thus speaks English fluently/naturally.... But yes, she has a bootiful voice",1,b,"b
d",,
1,"외국어 유창하게 잘하는 사람은 뭔가 4차원적으로 다르고 화려해보임 후광효과가 있는듯

T: A person who is fluent in a foreign language is different, like four dimensions, and looks flamboyant, seems to have a halo effect",2,Off-topic,Bilingualism?,,
1,"여자든 남자든 영어 잘하면 사람 급이 달라짐

T: Whether it's a woman or a man, if they speak English well, the level of people will change",2,Off-topic,Bilingualism?,,
1,Jtbc thank you! I love Wendy speak English!,1,a,,,
1,"why are they so shocked when she's from canada?? this is like saying ""you're so good at english"" to someone who grew up speaking english lol",1,b,b,,
1,"어릴때부터 외국에서 오래 살았는데 못하는게 이상한 거지

T: It's rather weird that he/she can't do at all who's lived in a foreign country from childhood ",2,Off-topic,,,
1,apparently speaking english is also considered a skill nowadays. they werent wrong about those participation trophies sayings,1,Off-topic,,,
1,"내가 아는 영어를 가장 섹시하게 하는사람

T: The sexiest person I know in terms of speaking English",2,a,a,,
1,"“She’s losing her fluency.” Give her time to go back to the west and stay there for months, she’ll come back to Korea, fully fluent again. Lol. Losing your fluency is normal esp if you don’t have anyone to talk with it.",1,Off-topic,,,
1,She speaks better than me and I was born in California my whole life,1,a,b,,
1,"예쁜데 영어잘하면 반하지

T: It's natural to fall in love if you are pretty and speak English well at the same time ",2,a,,,
1,"와 그냥 네이티브..인데?

T: It's just native",2,Off-topic,,,
1,"영어 잘하는데 그 특유의 한국인 음? 높낮이? 같은게 있네

T: He/she's good at English, but there's a unique Korean sound, high and low",2,b,"b
e",,
1,Well ... Didn't she live in Canada? Lol,1,Off-topic,,,
1,"Don’t get it why we should explain and justify about their English proficiency.... they can speak anything, anytime.... they dont need ur validation and comments...",1,Off-topic,,,
1,"한국은 이상한게 영어 잘 하면 무슨 엄청난 인텔리인 걸로 착각하는데 이런 풍조 좀 없어졌으면 좋겠다. 미국에서 오래 살았으니 영어 잘 하는거야 당연한거고, 미국 길바닥 거렁뱅이도 영어 잘 함.

T: It's strange that Korea is mistaken for great intelligence when it comes to good English, but I hope this trend will disappear. Since he/she lived in the U.S. for a long time, he/she is good at English, of course. It's natural, and homeless people in the US are also good at English.",2,Off-topic,,,
1,"Honestly the title is pretty stupid. Of course her English is good, she grew up in the US and Canada! Its like someone posting a video in the US called: Korean Born Korean Man Speaks Korean Effortlessly!",1,Off-topic,,,
1,"It's really pathetic how many jealous people are coming here to a video dedicated to Wendy, acknowledging her English skills DESPITE it not being her first language regardless of growing up in an English speaking country. Do any of you know how many ppl grow up in that kind of situation but still fail to be bilingual? And with audacity and ignorance to Wendy's ACTUAL situation which half of you are incorrectly assumed, come here talking about how you're bilingual or got an award and ""it's not a big deal"" when it actually is for anyone to have an accomplishment including you. The difference is that Wendy is getting acknowledged for it and shining and winning because she's living her life as a productive human being while you're all bitter and insecure because no one acknowledged you. And guess what. No one will with those spiteful and bitter attitudes. Good luck in life.",1,Off-topic,,,
1,"Her English is okay, what she was saying at the start did not make sense, “I hope everyone good luck”??? She’s better than most idols but she ain’t fantastic",1,Off-topic,,,
1,English skills? I don't get it. It's not like she didn't live abroad lol. Wtf,1,Off-topic,,,
1,"No hate for Wendy but how is this even a thing ? Like, she grew up in Canada for few years and ofc she would speak english. It's nothing impressive. I've known many people who moved/study in the US and they could easily speak english fluently in about 1-2 years. It's nothing impressive, it's just natural to adapt an accent when you're staying in a place.",1,b,b,,
1,well of course its a piece of cake for her to speak english coz she grew up in canada.koreans just make this such a big deal coz most of them cant speak english,1,b,b,,
2,Your accents is just..... Mwahhh (heart emoji) (heart emoji),1,a,,,
2,"방찬도 호주출신인데...화면에는 나오지만..
 필릭스 호주 발음 진짜 멋있네요~^^
 찐이에요~

T:BANG CHAN is from Australia, but he's on screen..
 Felix's Australian pronunciation is really cool. ^^
 It's real",2,a,b,,
2,"Because rosé speaks so clearly in a sense that I just thought she was great at English. 
 
 Felix even when his not joking around with Chan you can tell how prominent it is. I can clearly hear his accent.",1,a,,,
2,"It's a fact that people change personalities when they speak in different languages. Like how they feel, their gestures, expressions, voice, and all that. That's how Rosie becomes Roseanne when she speaks English and she's Chaeyoung the chipmunk when she speaks Korean.
 In the same context, I've recently became a skz fan and I can see that Felix is more relaxed and seems in his element when he speaks English, he looks and has this in charge aura whereas he seems always a bit timid when he speaks Korean. Which is understandable considering it's his second language.
 And before people come at me, yes, both Kr and Eng are his native languages but I'm pretty sure his Korean exposure was limited to his house whereas English was all around him. And he probably thought in English while growing up, which makes it his first language. It's kind of obvious he still thinks in English sometimes. I can relate lol",1,b,Meta linguistic comment ,,
2,"Rosé 영어하면 톤 낮아지는데 그 목소리가 너무 좋음..

T: Rosé's tone is lowered when she speaks English, and her voice is so good..",2,a,e,,
2,i love felix’s accent,1,a,,,
2,"남자들의 롤모델:플릭스
여자들의 롤모델:로제
둘이 매력이 너무 달라서 모르겠....근데 로제 첨에 등장할때 간즤 폭팔..시크..도도..커리어우먼💕

T: Men's Role Model: Felix
Women's Role Model: Rosé
I don't know because the two are so different in charm... but when Rose appeared at first, she was... chic... cool...and...career woman💕",2,Off-topic,,,
2," I really really want a Rosé x Banchang cover in English, their voices will sound amazing together.",1,Off-topic,,,
2," I just came to know Felix and Chan-and i must say their voice is incredible and unexpected especially felix’s .
  I really want to hear these three sing ❤️",1,Off-topic,,,
2,Felix has the best accent his voice chef kisses,1,a,a,,
2, Rose is pretty voice,1,Off-topic,,,
2,"코난 오브라이언 무슨 화에요?ㅋㅋㅋㅋㅋ 로제랑 필릭스 진짜 멋지네요 느긋하고 우아해요

T: What's the episode of Conan show? lol Rose and Felix are so cool, they are chill and elegant ",2,Off-topic,,,
2," Rosè has a sweet tone but
 Chanlix has a full on AuSsIe AcCeNt",1,a,"a
b",,
2," I think it's because it's more normal to be cute and speak in a cute way in S Korea than in Europe, USA and some parts of Asia. Like when I speak in my native tongue, my voice gets deeper compared to when I speak in English. The same goes when I try to speak Korean, my voice ups a pitch. To be honest I don't know ;P",1,Off-topic,,,
2,"로제 영어는 진짜 매력적임..발음부터 목소리까지 먼가 성숙해보이고 농염 비단뱀..

T: Rosé English is really attractive.. From pronunciation to voice, she looks mature and pungent python..",2,a,a,,
2, I love Australian accent,1,Off-topic,,,
2,"Petition for Rośe,Felix and Bang Chan in one interview or reality show speaking in Aussie accent we love to watch it!!",1,a,b,,
2," now, i want rosé, chan, felix and jake(from enhypen) to have a conversation using their aussie accent",1,a,b,,
2, Felix has the softest personality and the deepest voice.. Wow,1,Off-topic,,,
2," when I think of Felix' heavy accent my mind automatically goes ""sOo we were on ouwr way to the Buosan fansoign""",1,b,b,,
2, I loveeeee Felix deep voice and accent. Just from this alone you can tell he’s Australian. It’s also soothing and he has really good vocals!,1,a,"a
b",,
2, Aussie accent is so one of a hell sexy accent. I love British and Aussie accent dude!,1,Off-topic,,,
2," Rosé : Cute , adorable ,elegant
 
 Felix and Chan : SHRIMP ON A BARBIE . GDAY MATE. AUSSIE AUSSIE AUSSIE !! OI OI OI",1,Off-topic,,,
2,"둘 다 완벽한 목소리를 가지고 있어

T: Both have perfect voices ",2,Off-topic,,,
2,You should've done enough research that Rosé was born in New Zealand and moved to Australia.,1,Off-topic,,,
2,"Rosé and her aussie accent is so elegant
 Mean while chan and felix has this natural and native, general aussie accent",1,a,"a
b",,
2,"마지막 로제 인터뷰 뭔가 찡하다

T: Rose's last interview is sad somehow ",2,Off-topic,,,
2,"Rosè speking english:*elegant*
Meanwhile chan and felix
Chanlix:i WaNt A sHrImP oN tHe BaRbIe, I hAd A sHrImP oN tHe BarBie 
They be british tho",1,a,"a
b",,
2,but they say she fakes her voice to a more cute way cuz of yg,1,Off-topic,,,
2,I really like Rosé when she speaks English with an Australian accent 💗😳,1,a,b,,
2,"I come here for Felix baby😍 His Deep voice is my always favorite, btw i don't know about Rose that much, first time listeing her english, she is so sweet too😊",1,a,a,,
2,Felix deep voice with Australian accent is hot af.,1,a,"a
b",,
2,me being Australian and understanding everything Felix is saying,1,Off-topic,,,
2,Ilovetheway they speak 💙💙💙,1,Off-topic,,,
2,Rosé's accent ahhhhh,1,b,,,
2,"Starting today! 덕분에 영어에 대한 흥미를 느끼고 가요! 이제 영어 두려워 하지 않고 열심히 해볼게요! 감사합니다~

T: Starting today, thanks to you, I'm going to get interested in English! Now, I'll do my best without being afraid of English! Thank you",2,Off-topic,"*Metalinguistic comments 
From a perspective of SLA ",,
2,Bruh CHAN and FELIX call ROSE there Australian sister 😌✌the Australian siblings,1,Off-topic,,,
2,"many people can relate with rose, so do i. we will show our different character based on the language we speak. i love when rose speaks english, she looks elegant and classy",1,a,"a
Meta linguistic comment ",,
2, I don't know but rosé sounds so classy when she's speaking in English.,1,a,a,,
2,Yall sometimes forget about Bangchan 🙄 his accent is strong like lixie,1,b,,,
2,"제 모델링 모델은 로제. 땅땅땅. 사실 모델링할만한 여자 영화배우를 찾고 있었는데 영크릿 로제영상 두개로 설득되었네요 :)

T: My modeling model is rosé. bang bang bang. I was actually looking for a female movie star to model, but I was persuaded by two YoungCrits rosé videos :",2,Off-topic,,,
2, It's always so satisfying to hear ppl speak with aussie accent,1,a,b,,
2, aight i love your contents,1,Off-topic,,,
2," The boys from skz learned English from Felix and Chan, n they also adopted their accent. Lol",1,b,,,
